Ano,Empresa,Capital,Trabalho,Producao
1969,3332,183.600000000663,0.584778542950397,1.69529548749585
1970,3332,190.199999999755,0.643337090252269,2.10085597522267
1971,3332,211.099999999098,0.549015482920112,1.07515532071865
1972,3332,220.600000000132,0.492492063491455,3.13780834512601
1973,3332,226.4999999993,0.517116666666838,3.39357812499861
1974,3332,244.800000000448,0.523081632652835,4.19524175823334
1975,3332,244.100000000265,0.560110125554876,2.39936448248049
1976,3332,251.500000000052,0.607006146935377,2.79296181807119
1977,3332,284.199999999147,0.520419550124621,3.26554651486247
1978,3332,269.600000000498,0.625946634166024,2.25115511876153
1979,3332,309.799999999142,0.617659568359136,7.26937799686468
1980,3332,324.70000000039,0.594215049522281,2.28167700937946
1981,3332,338.3999999993,0.62061462300073,0.093278750951847
1982,3332,348.69999999944,0.509272696399828,1.10986325560312
1983,3332,360.199999999332,0.455086697647601,1.2469826096427
1984,3332,347.00000000109,0.486493630127451,0.880683781324974
1985,3332,352.399999999286,0.502133371785352,0.514765657868244
1986,3332,374.099999998466,0.405797112033298,0.703450323651732
1987,3332,356.600000000342,0.069000000000337,0.346000000001527
1988,3332,333.800000000756,0.072535924690145,0.612203204386743
1989,3332,317.799999999169,0.075455219623538,0.643698231601831
1990,3332,304.000000001149,0.078000086687887,0.541517843210705
1991,3332,289.199999998667,0.071809742902701,0.457678963803979
1992,3332,278.600000001196,0.063346263780711,0.36994218048078
1993,3332,266.199999999731,0.058561740701907,0.3439471249684
1994,3332,254.30000000049,0.055750188797244,0.365204135307664
1958,3333,422.500000001171,1.16880078576422,2.57064467298473
1959,3333,427.800000000725,1.19470966636154,2.85737682815461
1960,3333,427.699999998775,1.20248850833507,3.30684339791323
1961,3333,427.800000000725,1.23430343213793,2.91115823489743
1962,3333,420.199999999622,1.25854270638643,2.60235253379932
1963,3333,438.199999999401,1.22097771497099,3.33239221656034
1964,3333,438.499999999019,1.32602538560512,4.76239192375251
1965,3333,449.700000001501,1.3246016824421,4.13367076762762
1966,3333,472.499999998206,1.3797531179702,4.24393028009087
